ds,yhat,lower,upper
2025-02-03 03:00:00,45.5891549478211,39.49163420140256,51.68667569423964
2025-02-03 04:00:00,45.599153609940764,39.48513817671402,51.71316904316751
2025-02-03 05:00:00,45.60912426696626,39.47875042650118,51.739498107431345
2025-02-03 06:00:00,45.619066997336624,39.47246942840655,51.7656645662667
2025-02-03 07:00:00,45.628981879271166,39.46629368847057,51.79167007007176
2025-02-03 08:00:00,45.638868990770135,39.460221740399874,51.817516241140396
2025-02-03 09:00:00,45.64872840961531,39.45425214485989,51.843204674370725
2025-02-03 10:00:00,45.65856021337059,39.448383488791016,51.86873693795017
2025-02-03 11:00:00,45.66836447938265,39.44261438474721,51.8941145740181
2025-02-03 12:00:00,45.67814128478153,39.436943470256274,51.91933909930679
2025-02-03 13:00:00,45.68789070648121,39.431369407200755,51.94441200576167
2025-02-03 14:00:00,45.697612821180265,39.42589088121887,51.96933476114166
2025-02-03 15:00:00,45.70730770536244,39.42050660112451,51.99410880960037
2025-02-03 16:00:00,45.71697543529726,39.41521529834558,52.018735572248936
2025-02-03 17:00:00,45.72661608704062,39.41001572638012,52.04321644770112
2025-02-03 18:00:00,45.7362297364354,39.404906660269276,52.06755281260152
2025-02-03 19:00:00,45.74581645911205,39.39988689608673,52.09174602213737
2025-02-03 20:00:00,45.755376330489185,39.39495525044373,52.11579741053464
2025-02-03 21:00:00,45.76490942577419,39.390110560009354,52.13970829153903
2025-02-03 22:00:00,45.77441581996379,39.385351681045215,52.16347995888237
2025-02-03 23:00:00,45.78389558784467,39.380677488954284,52.18711368673505
2025-02-04 00:00:00,45.79334880399403,39.37608687784314,52.210610730144914
2025-02-04 01:00:00,45.80277554278018,39.37157876009723,52.233972325463135
2025-02-04 02:00:00,45.81217587836317,39.367152065968696,52.257199690757645
2025-02-04 03:00:00,45.8215498846953,39.36280574317622,52.280294026214385
2025-02-04 04:00:00,45.83089763552176,39.35853875651656,52.30325651452696
2025-02-04 05:00:00,45.84021920438117,39.354350087487255,52.32608832127509
2025-02-04 06:00:00,45.84951466460619,39.35023873392022,52.34879059529216
2025-02-04 07:00:00,45.858784089324075,39.34620370962572,52.37136446902243
2025-02-04 08:00:00,45.868027551457274,39.34224404404649,52.39381105886806
2025-02-04 09:00:00,45.87724512372397,39.33835878192151,52.416131465526426
2025-02-04 10:00:00,45.88643687863868,39.33454698295924,52.43832677431813
2025-02-04 11:00:00,45.895602888512826,39.330807721519875,52.46039805550578
2025-02-04 12:00:00,45.90474322545527,39.3271400863064,52.48234636460414
2025-02-04 13:00:00,45.913857961372926,39.32354318006409,52.50417274268176
2025-02-04 14:00:00,45.9229471679713,39.32001611928819,52.52587821665441
2025-02-04 15:00:00,45.93201091675506,39.316558033939465,52.54746379957066
2025-02-04 16:00:00,45.94104927902859,39.31316806716748,52.5689304908897
2025-02-04 17:00:00,45.95006232589656,39.309845375041206,52.590279276751914
2025-02-04 18:00:00,45.959050128264494,39.30658912628677,52.61151113024222
2025-02-04 19:00:00,45.96801275683931,39.30339850203213,52.632627011646484
2025-02-04 20:00:00,45.976950282129884,39.30027269555851,52.65362786870126
2025-02-04 21:00:00,45.98586277444761,39.29721091205816,52.67451463683706
2025-02-04 22:00:00,45.99475030390695,39.29421236839854,52.695288239415355
2025-02-04 23:00:00,46.00361294042597,39.29127629289244,52.71594958795949
2025-02-05 00:00:00,46.01245075372691,39.28840192507411,52.73649958237971
2025-02-05 01:00:00,46.02126381333673,39.285588515480946,52.756939111192516
2025-02-05 02:00:00,46.03005218858766,39.282835325440786,52.777269051734535
2025-02-05 03:00:00,46.03881594861772,39.280141626864506,52.79749027037093
2025-02-05 04:00:00,46.04755516237129,39.277506702043794,52.81760362269878
2025-02-05 05:00:00,46.05626989859965,39.27492984345397,52.837609953745336
2025-02-05 06:00:00,46.06496022586151,39.27241035356159,52.857510098161434
2025-02-05 07:00:00,46.073626212523564,39.26994754463692,52.87730488041021
2025-02-05 08:00:00,46.08226792676101,39.2675407385708,52.896995114951224
2025-02-05 09:00:00,46.09088543655809,39.26518926669607,52.91658160642011
2025-02-05 10:00:00,46.09947880970864,39.26289246961328,52.93606514980401
2025-02-05 11:00:00,46.10804811381662,39.26064969702051,52.95544653061273
2025-02-05 12:00:00,46.11659341629662,39.258460307547345,52.97472652504589
2025-02-05 13:00:00,46.12511478437442,39.25632366859272,52.993905900156115
2025-02-05 14:00:00,46.1336122850875,39.25423915616656,53.01298541400844
2025-02-05 15:00:00,46.142085985285604,39.252206154735234,53.031965815835974
2025-02-05 16:00:00,46.1505359516312,39.25022405707046,53.050847846191935
2025-02-05 17:00:00,46.15896225060006,39.24829226410186,53.06963223709826
2025-02-05 18:00:00,46.167364948481776,39.24641018477282,53.08831971219073
2025-02-05 19:00:00,46.17574411138025,39.24457723589964,53.10691098686085
2025-02-05 20:00:00,46.18409980521424,39.24279284203399,53.125406768394484
2025-02-05 21:00:00,46.192432095717884,39.241056435328375,53.14380775610739
2025-02-05 22:00:00,46.200741048441195,39.23936745540469,53.1621146414777
2025-02-05 23:00:00,46.20902672875059,39.237725349225705,53.18032810827547
2025-02-06 00:00:00,46.21728920182941,39.23612957096947,53.19844883268935
2025-02-06 01:00:00,46.22552853267841,39.23457958190634,53.21647748345048
2025-02-06 02:00:00,46.233744786116304,39.23307485027897,53.23441472195364
2025-02-06 03:00:00,46.24193802678025,39.23161485118469,53.252261202375806
2025-02-06 04:00:00,46.25010831912634,39.230199066460614,53.27001757179207
2025-02-06 05:00:00,46.258255727430175,39.22882698457119,53.28768447028916
2025-02-06 06:00:00,46.2663803157873,39.22749810049815,53.30526253107645
2025-02-06 07:00:00,46.27448214811374,39.22621191563288,53.3227523805946
2025-02-06 08:00:00,46.2825612881465,39.22496793767104,53.34015463862197
2025-02-06 09:00:00,46.29061779944407,39.22376568050947,53.35746991837867
2025-02-06 10:00:00,46.29865174538691,39.222604664145265,53.37469882662856
2025-02-06 11:00:00,46.30666318917797,39.221484414576935,53.391841963779
2025-02-06 12:00:00,46.314652193843166,39.2204044637077,53.40889992397863
2025-02-06 13:00:00,46.32261882223189,39.219364349250746,53.42587329521303
2025-02-06 14:00:00,46.33056313701749,39.21836361463649,53.4427626593985
2025-02-06 15:00:00,46.338485200697804,39.217401808921714,53.45956859247389
2025-02-06 16:00:00,46.34638507559559,39.216478486700616,53.47629166449057
2025-02-06 17:00:00,46.35426282385905,39.2155932080176,53.4929324397005
2025-02-06 18:00:00,46.36211850746234,39.21474553828196,53.50949147664272
2025-02-06 19:00:00,46.369952188206,39.21393504818416,53.52596932822784
2025-02-06 20:00:00,46.377763927717496,39.21316131361388,53.54236654182111
2025-02-06 21:00:00,46.38555378745168,39.212423915579706,53.55868365932365
2025-02-06 22:00:00,46.39332182869127,39.211722440130345,53.5749212172522
2025-02-06 23:00:00,46.40106811254734,39.2110564782775,53.591079746817186
